t,pos_x,vel_x,pos_y,vel_y,pos_z,vel_z,meas_ax,meas_ay,meas_az
17.888,0,0,0,0,0,0,-1.49229,-0.628091,-0.974307
17.985,0,0,0,0,0,0,-1.33909,-0.819582,-0.667921
18.085,0,0,0,0,0,0,-1.41569,-0.474898,-0.936008
18.18,0,0,0,0,0,0,-1.79867,-0.321705,-1.2807
18.273,0,0,0,0,0,0,-1.72208,-0.474898,-1.0892
18.371,0,0,0,0,0,0,-1.33909,-0.781284,-0.936008
18.465,0,0,0,0,0,0,-1.37739,-0.704688,-1.01261
18.563,0,0,0,0,0,0,-1.60718,-0.283407,-1.2424
18.66,0,0,0,0,0,0,-1.20505,-0.398302,-0.782815
18.76,0,0,0,0,0,0,-1.16675,-0.0153195,-0.782815
18.855,0,0,0,0,0,0,-1.72208,-0.513196,-0.89771
18.955,0,0,0,0,0,0,-1.33909,-0.513196,-1.1658
19.05,0,0,0,0,0,0,-1.33909,-0.589793,-0.667921
19.15,0,0,0,0,0,0,-1.3008,-0.398302,-0.821114
19.25,0,0,0,0,0,0,-1.45399,-0.781284,-0.974307
19.345,0,0,0,0,0,0,-1.3008,-0.0536176,-0.936008
19.445,0,0,0,0,0,0,-1.05186,-0.742986,-0.533877
19.541,0,0,0,0,0,0,-1.05186,-0.781284,-0.89771
19.64,0,0,0,0,0,0,-0.936966,-0.321705,-0.859412
19.738,0,0,0,0,0,0,-1.2625,-0.551495,-1.31899
19.838,0,0,0,0,0,0,-1.12845,-0.398302,-0.821114
19.935,0,0,0,0,0,0,-0.783773,-0.666389,-0.821114
20.035,0,0,0,0,0,0,-1.16675,-0.628091,-0.706219
20.129,0,0,0,0,0,0,-1.01356,0.00382967,-1.2041
20.225,0,0,0,0,0,0,-1.2625,-0.398302,-0.706219
20.325,0,0,0,0,0,0,-0.707176,-0.321705,-0.706219
20.422,0,0,0,0,0,0,-1.01356,-0.781284,-0.744517
20.52,0,0,0,0,0,0,-1.05186,-0.283407,-0.821114
20.62,0,0,0,0,0,0,-1.09016,-0.800433,-0.782815
20.715,0,0,0,0,0,0,-0.975264,-0.666389,-0.936008
20.815,0,0,0,0,0,0,-1.12845,-0.589793,-1.05091
20.911,0,0,0,0,0,0,-1.2625,-0.283407,-1.05091
21.007,0,0,0,0,0,0,-0.898668,-0.666389,-0.859412
21.105,0,0,0,0,0,0,-0.898668,-0.551495,-0.667921
21.205,0,0,0,0,0,0,-0.898668,-0.628091,-0.495579
21.3,0,0,0,0,0,0,-0.975264,-0.360003,-1.01261
21.399,0,0,0,0,0,0,-1.01356,-0.4366,-0.706219
21.498,0,0,0,0,0,0,-0.860369,-0.321705,-0.936008
21.595,0,0,0,0,0,0,-0.898668,-0.360003,-0.667921
21.695,0,0,0,0,0,0,-0.783773,-0.398302,-0.936008
21.79,0,0,0,0,0,0,-0.822071,-0.551495,-0.782815
21.888,0,0,0,0,0,0,-0.668878,-0.474898,-0.495579
21.985,0,0,0,0,0,0,-0.975264,-0.283407,-0.667921
22.085,0,0,0,0,0,0,-0.668878,-0.838731,-0.782815
22.18,0,0,0,0,0,0,-0.707176,-0.187661,-0.744517
22.276,0,0,0,0,0,0,-0.783773,-0.321705,-0.706219
22.375,0,0,0,0,0,0,-0.822071,-0.474898,-0.821114
22.473,0,0,0,0,0,0,-1.09016,-0.360003,-0.667921
22.57,0,0,0,0,0,0,-0.936966,-0.321705,-0.629622
22.67,0,0,0,0,0,0,-1.01356,-0.551495,-0.706219
22.765,0,0,0,0,0,0,-0.573133,-0.800433,-0.648772
22.86,0,0,0,0,0,0,-0.822071,-0.360003,-0.706219
22.954,0,0,0,0,0,0,-0.63058,-0.589793,-0.706219
23.051,0,0,0,0,0,0,-0.707176,-0.513196,-0.782815
23.145,0,0,0,0,0,0,-0.707176,-0.22596,-0.744517
23.245,0,0,0,0,0,0,-0.783773,-0.398302,-0.572175
23.34,0,0,0,0,0,0,-0.783773,-0.4366,-0.706219
23.436,0,0,0,0,0,0,-0.707176,-0.4366,-0.667921
23.535,0,0,0,0,0,0,225.999,6.36133,1.26614
23.63,0,0,0,0,0,0,-4.36466,1.32512,0.346983
23.73,0,0,0,0,0,0,-1.97102,-0.321705,-1.2424
23.83,0,0,0,0,0,0,-7.44766,-5.26218,15.6663
23.93,0,0,0,0,0,0,-11.4881,3.87195,0.825711
24.025,0,0,0,0,0,0,-13.3839,1.32512,-0.974307
24.122,0,0,0,0,0,0,-123.434,22.4466,32.7665
24.22,0,0,0,0,0,0,-71.9419,3.43152,-20.5064
24.32,0,0,0,0,0,0,-38.4884,-36.1114,-59.4365
24.42,0,0,0,0,0,0,-23.9925,-26.173,-20.4298
24.515,0,0,0,0,0,0,-14.4371,-11.4474,-0.265789
24.611,0,0,0,0,0,0,-0.0561066,-3.96004,4.10021
24.71,0,0,0,0,0,0,2.70137,1.28682,-1.95091
24.81,0,0,0,0,0,0,2.89286,-0.589793,0.442728
24.905,0,0,0,0,0,0,-0.783773,-12.041,-1.64453
25,0,0,0,0,0,0,-2.58379,-6.67922,-1.58708
25.105,0,0,0,0,0,0,-5.5136,-7.82816,32.8047
25.2,0,0,0,0,0,0,-6.96894,-20.1985,21.5642
25.295,0,0,0,0,0,0,-0.649729,-7.98136,6.99172
25.395,0,0,0,0,0,0,-1.39654,-9.45584,5.82363
25.495,0,0,0,0,0,0,-0.209299,-17.2686,-1.83602
25.59,0,0,0,0,0,0,-0.247598,-26.288,-8.90205
25.687,0,0,0,0,0,0,0.135385,-9.34094,-5.66584
25.784,0,0,0,0,0,0,-5.18807,4.44642,-3.04241
25.885,0,0,0,0,0,0,-3.90508,11.1103,-3.4254
25.983,0,0,0,0,0,0,-0.707176,7.72092,-3.19561
26.08,0,0,0,0,0,0,-0.573133,2.20597,-0.974307
26.174,0,0,0,0,0,0,-0.84122,1.5549,-0.170044
26.275,0,0,0,0,0,0,-0.247598,1.24852,-0.361535
26.375,0,0,0,0,0,0,-2.98592,5.80601,0.308684
26.47,0,0,0,0,0,0,-7.60086,33.1893,3.94701
26.565,0,0,0,0,0,0,2.62477,11.6657,0.787412
26.665,0,0,0,0,0,0,1.62902,2.7996,6.53215
26.763,0,0,0,0,0,0,-4.17316,-21.3666,13.4833
26.86,0,0,0,0,0,0,-11.3732,-30.7305,22.2727
26.956,0,0,0,0,0,0,-3.46465,-19.5283,11.1471
27.055,0,0,0,0,0,0,0.0587881,-15.6218,3.48744
27.15,0,0,0,0,0,0,0.326876,-9.68563,-3.94242
27.25,0,0,0,0,0,0,0.690709,7.03155,-10.2999
27.345,0,0,0,0,0,0,-8.15618,12.221,-8.11693
27.443,0,0,0,0,0,0,-10.1477,14.672,-2.69773
27.54,0,0,0,0,0,0,-8.21363,10.6507,-1.51048
27.638,0,0,0,0,0,0,-6.79659,4.92515,-2.52539
27.735,0,0,0,0,0,0,-7.44766,-3.27067,-7.29352
27.835,0,0,0,0,0,0,-7.44766,-6.60262,-11.7552
27.93,0,0,0,0,0,0,-6.77744,-7.0622,-13.9957
28.021,0,0,0,0,0,0,-4.4604,-5.62602,-12.9617
28.12,0,0,0,0,0,0,-0.802922,-1.98768,-8.6914
28.215,0,0,0,0,0,0,-0.688027,-0.934477,-7.7531
28.31,0,0,0,0,0,0,0.786455,-1.79619,-6.47011
28.407,0,0,0,0,0,0,1.05455,-1.643,-6.06798
28.506,0,0,0,0,0,0,0.116236,0.903838,-6.08712
28.605,0,0,0,0,0,0,1.05455,1.01873,-7.86799
28.7,0,0,0,0,0,0,-3.75188,7.45283,-16.0446
28.795,0,0,0,0,0,0,-3.94337,12.3359,-16.5617
28.89,0,0,0,0,0,0,-8.65406,15.2656,-7.48501
28.988,0,0,0,0,0,0,-10.3392,10.2295,4.11936
29.085,0,0,0,0,0,0,-14.4946,9.02306,12.1619
29.184,0,0,0,0,0,0,-13.8435,6.66772,12.5449
29.28,0,0,0,0,0,0,-13.269,6.36133,7.08747
29.375,0,0,0,0,0,0,-8.32852,-5.31963,-4.59349
29.475,0,0,0,0,0,0,-6.52851,-10.7772,-5.18712
29.575,0,0,0,0,0,0,-9.01789,-17.058,-7.37012
29.674,0,0,0,0,0,0,-8.40512,-15.0282,-3.82753
29.77,0,0,0,0,0,0,-7.02638,-9.72393,-3.67434
29.865,0,0,0,0,0,0,-7.75405,-7.31114,-4.4403
29.962,0,0,0,0,0,0,-4.28806,-4.8409,-4.99562
30.06,0,0,0,0,0,0,-1.95187,-2.6196,-1.85517
30.157,0,0,0,0,0,0,-0.171001,-3.44302,1.61082
30.255,0,0,0,0,0,0,-0.343343,-2.54301,2.81722
30.355,0,0,0,0,0,0,0.441771,-2.06428,3.98531
30.45,0,0,0,0,0,0,0.633262,-1.06852,4.2534
30.549,0,0,0,0,0,0,0.403473,-1.10682,5.44065
30.645,0,0,0,0,0,0,-6.06893,-21.1368,23.1536
30.745,0,0,0,0,0,0,0.499218,-14.7601,25.7387
30.84,0,0,0,0,0,0,9.82481,-13.2857,13.4259
30.938,0,0,0,0,0,0,12.0844,-24.6985,11.5875
31.035,0,0,0,0,0,0,18.9015,-21.9219,12.4109
31.135,0,0,0,0,0,0,3.69712,-10.0495,43.7197
31.23,0,0,0,0,0,0,-11.8137,-25.3113,39.5069
31.325,0,0,0,0,0,0,-8.34767,-21.0985,11.5875
31.425,0,0,0,0,0,0,-5.89658,-9.97285,-4.57434
