time_s,acceleration_x,acceleration_y,acceleration_z
75.903,-9.63066339,-10.3558284,-0.11259623700000002
75.995,-8.577461790000001,-9.64733058,1.4959269
76.091,-8.060435550000001,-6.0089977800000005,3.48743538
76.188,-8.84554947,-0.8578805760000001,8.92578546
76.285,-8.32852323,3.58471134,13.7322342
76.38,-7.90724259,2.8761939,15.608789100000001
76.477,-5.0157254700000005,0.04212796590000001,12.1619475
76.577,-0.32419401300000006,-2.27491938,6.264057780000001
76.67,0.13538486700000002,-4.4196208200000004,3.83211954
76.767,0.0396388746,-5.47282242,1.7640145800000002
76.86,0.9204987870000001,-6.29623458,-1.01260782
76.955,3.1226505300000005,-12.4622316,-2.18070414
77.051,7.66099197,-14.721867,-14.7233385
77.15,16.1823798,-4.86005058,-16.1212635
77.245,9.63335133,11.2826772,-6.39351054
77.34,-2.23910307,32.5573299,-10.931871600000001
77.437,-1.30079619,19.5550578,-12.7701675
77.535,-1.4922873900000002,14.9018805,-6.757343820000001
77.63,1.2651858900000001,5.42302686,-1.05090606
77.725,3.3141417300000002,2.8761939,-1.16580078
77.82,2.52902781,2.4549132600000005,-4.3637038200000005
77.915,3.6013785300000003,3.0676851,-6.776492940000001
78.015,11.9695734,-0.8004332160000001,8.44705746
78.11,-1.81782243,25.7211333,-18.859626900000002
78.205,6.83757981,7.127298540000001,-7.867992780000001
78.301,-4.21146243,-3.0600333,-42.1258077
78.4,-2.04761187,45.8468388,-22.7851965
78.495,-1.3390944300000003,27.406197,3.6023301
78.59,-50.609790000000004,-24.5070477,65.54973330000001
78.69,3.75457149,-0.7238367360000001,1.57252338
78.795,3.52478205,0.329364864,0.5959212030000001
78.886,-1.18590147,2.05278174,1.13209362
78.975,-12.8668941,5.461325100000001,1.09379538
79.081,-14.6860605,21.240219600000003,-12.961658700000001
79.18,-12.120058799999999,24.169976100000003,-7.867992780000001
79.28,-6.94978659,17.8699941,1.72571634
79.375,-4.69019043,14.557157100000001,8.791741620000002
79.471,-4.80508515,-6.8898573,9.57685554
79.57,-7.65830403,-13.5154332,3.94701426
79.665,-7.06468131,-17.1921231,0.519324723
79.765,-8.67320739,-13.9559022,-2.58283566
79.861,-7.14127779,-6.8898573,-2.6594321400000003
79.96,-5.992330590000001,-1.70044578,-1.83601998
80.06,-3.50294499,1.11447486,0.11719320300000001
80.16,-3.23485731,1.2293695800000002,0.0022983947100000002
80.255,-3.5220941100000003,0.9995801400000001,2.85551442
80.355,-6.47105859,2.16767646,12.947139900000002
80.45,-0.975264093,-3.5579104200000002,21.9279987
80.55,0.863051427,-10.1643372,18.5769027
80.644,5.1333081300000005,-12.0409902,16.1450037
80.745,6.28225533,-13.1708079,9.42366258
80.843,3.3715890900000005,-11.562262200000001,-4.172212620000001
80.94,-2.81357667,-7.11964674,-13.3063821
81.04,-6.01147971,-6.0089977800000005,-12.2148234
